"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?"
bthdilationdate2,birth,,text,"Fecha de la medicion de la dilatacion cervical",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthdilationtime2,birth,,text,"Hora de la medicion de la dilatacion cervical",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthdilation3,birth,,text,"Medicion de la dilatacion cervical",,cms,,,,,,,,,,
bthdilationdate3,birth,,text,"Fecha de la medicion de la dilatacion cervical",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthdilationtime3,birth,,text,"Hora de la medicion de la dilatacion cervical",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthdilation4,birth,,text,"Medicion de la dilatacion cervical",,cms,,,,,,,,,,
bthdilationdate4,birth,,text,"Fecha de la medicion de la dilatacion cervical",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthdilationtime4,birth,,text,"Hora de la medicion de la dilatacion cervical",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthdilation5,birth,,text,"Medicion de la dilatacion cervical",,cms,,,,,,,,,,
bthdilationdate5,birth,,text,"Fecha de la medicion de la dilatacion cervical",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthdilationtime5,birth,,text,"Hora de la medicion de la dilatacion cervical",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthstation1,birth,,text,"Ubicacion de la estacion 1",,Estacion,,,,,,,,,,
bthstationdate1,birth,,text,"Fecha de la toma de la estacion 1",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthstationtime1,birth,,text,"Hora de la toma de la estacion 1",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthstation2,birth,,text,"Ubicacion de la estacion 2",,Estacion,,,,,,,,,,
bthstationdate2,birth,,text,"Fecha de la toma de la estacion 2",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthstationtime2,birth,,text,"Hora de la toma de la estacion 2",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthstation3,birth,,text,"Ubicacion de la estacion 3",,Estacion,,,,,,,,,,
bthstationdate3,birth,,text,"Fecha de la toma de la estacion 3",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthstationtime3,birth,,text,"Hora de la toma de la estacion 3",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthstation4,birth,,text,"Ubicacion de la estacion 4",,Estacion,,,,,,,,,,
bthstationdate4,birth,,text,"Fecha de la toma de la estacion 4",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthstationtime4,birth,,text,"Hora de la toma de la estacion 4",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthstation5,birth,,text,"Ubicacion de la estacion 5",,Estacion,,,,,,,,,,
bthstationdate5,birth,,text,"Fecha de la toma de la estacion 5",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthstationtime5,birth,,text,"Hora de la toma de la estacion 5",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthpresent1,birth,,text,"Presentacion del producto",,Presentacion,,,,,,,,,,
bthpresentdate1,birth,,text,"Fecha de la presentacion del producto",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthpresenttime1,birth,,text,"Hora de la toma de la presentacion del producto",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthpresent2,birth,,text,"Presentacion del producto",,Presentacion,,,,,,,,,,
bthpresentdate2,birth,,text,"Fecha de la presentacion del producto",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthpresenttime2,birth,,text,"Hora de la toma de la presentacion del producto",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthpresent3,birth,,text,"Presentacion del producto",,Presentacion,,,,,,,,,,
bthpresentdate3,birth,,text,"Fecha de la presentacion del producto",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthpresenttime3,birth,,text,"Hora de la toma de la presentacion del producto",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthpresent4,birth,,text,"Presentacion del producto",,Presentacion,,,,,,,,,,
bthpresentdate4,birth,,text,"Fecha de la presentacion del producto",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthpresenttime4,birth,,text,"Hora de la toma de la presentacion del producto",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthpresent5,birth,,text,"Presentacion del producto",,Presentacion,,,,,,,,,,
bthpresentdate5,birth,,text,"Fecha de la presentacion del producto",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthpresenttime5,birth,,text,"Hora de la toma de la presentacion del producto",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthfht1,birth,,text,"Tono card",,FTH,,,,,,,,,,
bthfhtdate1,birth,,text,"Fecha de la toma del Tono card",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthfhttime1,birth,,text,"Hora de la toma del Tono card",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthfht2,birth,,text,"Tono card",,FTH,,,,,,,,,,
bthfhtdate2,birth,,text,"Fecha de la toma del Tono card",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthfhttime2,birth,,text,"Hora de la toma del Tono card",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthfht3,birth,,text,"Tono card",,FTH,,,,,,,,,,
bthfhtdate3,birth,,text,"Fecha de la toma del Tono card",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthfhttime3,birth,,text,"Hora de la toma del Tono card",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthfht4,birth,,text,"Tono card",,FTH,,,,,,,,,,
bthfhtdate4,birth,,text,"Fecha de la toma del Tono card",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthfhttime4,birth,,text,"Hora de la toma del Tono card",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthfht5,birth,,text,"Tono card",,FTH,,,,,,,,,,
bthfhtdate5,birth,,text,"Fecha de la toma del Tono card",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthfhttime5,birth,,text,"Hora de la toma del Tono card",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthucfreq1,birth,,text,"Frecuencia de las Contracciones uterinas",,"Frecuencia de las CU",,,,,,,,,,
bthucfreqdate1,birth,,text,"Fecha de la medicion de las contracciones uterinas",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthucfreqtime1,birth,,text,"Hora de la medicion de las contracciones uterinas",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthucfreq2,birth,,text,"Frecuencia de las Contracciones uterinas",,"Frecuencia de las CU",,,,,,,,,,
bthucfreqdate2,birth,,text,"Fecha de la medicion de las contracciones uterinas",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthucfreqtime2,birth,,text,"Hora de la medicion de las contracciones uterinas",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthucfreq3,birth,,text,"Frecuencia de las Contracciones uterinas",,"Frecuencia de las CU",,,,,,,,,,
bthucfreqdate3,birth,,text,"Fecha de la medicion de las contracciones uterinas",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthucfreqtime3,birth,,text,"Hora de la medicion de las contracciones uterinas",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthucfreq4,birth,,text,"Frecuencia de las Contracciones uterinas",,"Frecuencia de las CU",,,,,,,,,,
bthucfreqdate4,birth,,text,"Fecha de la medicion de las contracciones uterinas",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthucfreqtime4,birth,,text,"Hora de la medicion de las contracciones uterinas",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthucfreq5,birth,,text,"Frecuencia de las Contracciones uterinas",,"Frecuencia de las CU",,,,,,,,,,
bthucfreqdate5,birth,,text,"Fecha de la medicion de las contracciones uterinas",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthucfreqtime5,birth,,text,"Hora de la medicion de las contracciones uterinas",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthucduration1,birth,,text,"Duracion de las Contracciones uterinas",,"Duracion de las CU",,,,,,,,,,
bthucdurationdate1,birth,,text,"Fecha de la medicion de las contracciones uterinas",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthucdurationtime1,birth,,text,"Hora de la medicion de las contracciones uterinas",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthucduration2,birth,,text,"Duracion de las Contracciones uterinas",,"Duracion de las CU",,,,,,,,,,
bthucdurationdate2,birth,,text,"Fecha de la medicion de las contracciones uterinas",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthucdurationtime2,birth,,text,"Hora de la medicion de las contracciones uterinas",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthucduration3,birth,,text,"Duracion de las Contracciones uterinas",,"Duracion de las CU",,,,,,,,,,
bthucdurationdate3,birth,,text,"Fecha de la medicion de las contracciones uterinas",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthucdurationtime3,birth,,text,"Hora de la medicion de las contracciones uterinas",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthucduration4,birth,,text,"Duracion de las Contracciones uterinas",,"Duracion de las CU",,,,,,,,,,
bthucdurationdate4,birth,,text,"Fecha de la medicion de las contracciones uterinas",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthucdurationtime4,birth,,text,"Hora de la medicion de las contracciones uterinas",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthucduration5,birth,,text,"Duracion de las Contracciones uterinas",,"Duracion de las CU",,,,,,,,,,
bthucdurationdate5,birth,,text,"Fecha de la medicion de las contracciones uterinas",,MM-DD-YYYY,date_mdy,,,,,,,,,
bthucdurationtime5,birth,,text,"Hora de la medicion de las contracciones uterinas",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthfirststagehr,birth,,text,"Hora de la presentacion en el Primer Estadio",,"(hh) Hora",,,,,,,,,,
bthfirststagemin,birth,,text,"Minutos de la presentacion en el Primer Estadio",,"(mm) Minutos",,,,,,,,,,
bthsecondstagehr,birth,,text,"Hora de la presentacion en el Segundo Estadio",,"(hh) Hora",,,,,,,,,,
bthsecondstagemin,birth,,text,"Minutos de la presentacion en el Segundo Estadio",,"(mm) Minutos",,,,,,,,,,
bththrdstagehr,birth,,text,"Hora de la presentacion en el Tercer Estadio",,"(hh) Hora",,,,,,,,,,
bththrdstagemin,birth,,text,"Minutos de la presentacion en el Tercer Estadio",,"(mm) Minutos",,,,,,,,,,
bthttimelaborhr,birth,,text,"Tiempo total en Labor en Horas",,Horas,,,,,,,,,,
bthttimelabormin,birth,,text,"Tiempo total en Labor en Minutos",,Minutos,,,,,,,,,,
bthdeliverydate,birth,NACIMIENTO,text,"Fecha del Nacimiento",,MM-DD-YYYY,date_mdy,,,,,,,,,
bth_deliverytime,birth,,text,"Hora del Nacimiento",,"Hora Militar (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
bthtypedelivery,birth,,radio,"Tipo de parto","1,  SVD | 2, VBAC",,,,,,,,,,,
bthoperativedelv,birth,,radio,"Parto instrumentado","1, Vacuum | 2, Forceps",,,,,,,,,,,
bthcesareanseg,birth,,radio,"Cesarea Segmentaria","1, Primaria | 2, De Repeticion",,,,,,,,,,,
bthreasoncearean,birth,,text,"Razones para la realizacion de la Cesarea",,"Mas de 250 caracteres",,,,,,,,,,
bthnewbornstatus,birth,,radio,"Situacion del Recien Nacido","1, Vivo | 2, Muerte Fetal | 3, Requirio Resucitacion",,,,,,,,,,,
bthdeliverycomplc,birth,,text,"Complicaciones durante el parto",,"Mas de 250 caracteres",,,,,,,,,,
bthepisiotomy,birth,,radio,Episiotomia,"0, No | 1, Si",,,,,,,,,,,
bthlacerations,birth,,radio,"Lasceraciones o desgarre Vaginal/Perineal","0, No | 1, Si",,,,,,,,,,,
bthmedslabor1,birth,,text,"Medicamentos usados durante el Parto 1",,"Hasta 35 caracteres",,,,,,,,,,
bthmedslabor2,birth,,text,"Medicamentos usados durante el Parto 2",,"Hasta 35 caracteres",,,,,,,,,,
bthmedslabor3,birth,,text,"Medicamentos usados durante el Parto 3",,"Hasta 35 caracteres",,,,,,,,,,
bthmedslabor4,birth,,text,"Medicamentos usados durante el Parto 4",,"Hasta 35 caracteres",,,,,,,,,,
bthmedslabor5,birth,,text,"Medicamentos usados durante el Parto 5",,"Hasta 35 caracteres",,,,,,,,,,
bthnbsex,birth,"INFORMACION DEL RECIEN NACIDO",radio,"Sexo del Recien Nacido","1, Femenino | 2, Masculino | 3, Genitales ambiguos",,,,,,,,,,,
bthapgar1,birth,,text,"Puntuacion de Apgar al minuto de nacido",,"0 - 10",,,,,,,,,,
bthapgar5,birth,,text,"Puntuacion de Apgar a los 5 minutos de nacido",,"0 - 10",,,,,,,,,,
bthapgar10,birth,,text,"Puntuacion de Apgar a los 10 minutos de nacido",,"0 - 10",,,,,,,,,,
bthballard,birth,,text,"Puntuacion de Ballard",,"Hasta 35 caracteres",,,,,,,,,,
bthweightrnlbs,birth,,text,"Peso del Recien Nacido en Libras",,Libras,,,,,,,,,,
bthweightrnozs,birth,,text,"Peso del Recien Nacido en Onzas",,Onzas,,,,,,,,,,
bthlength,birth,,text,"Longitud del Recien Nacido (Pulgadas)",,Pulgadas,,,,,,,,,,
bthhc,birth,,text,"Cincunferencia Cefalica",,Pulgadas,,,,,,,,,,
bthcc,birth,,text,"Circunferencia Toraxica",,Pulgadas,,,,,,,,,,
bthac,birth,,text,"Cincunferencia Abdominal",,Pulgadas,,,,,,,,,,
bthgluc1,birth,,text,"Niveles de Glucosa al Nacimiento",,mgs/dl,,,,,,,,,,
bthgluc2,birth,,text,"Nivel de Glucosa horas despues del nacimiento",,mgs/dl,,,,,,,,,,
bthbreastfeed,birth,,radio,"Alimentacion al seno materno","0, No | 1, Si",,,,,,,,,,,
bthbottlefeed,birth,,radio,"Alimentacion con botella","0, No | 1, Si",,,,,,,,,,,
bthglucwater,birth,,radio,"Se le proporciono agua con glucosa","0, No | 1, Si",,,,,,,,,,,
bthbilirrubin1,birth,,text,"Niveles de Bilirrubina",,mgs/dl,,,,,,,,,,
bthbilirrubin2,birth,,text,"Niveles de Bilirrubina horas despues del nacimiento",,mgs/dl,,,,,,,,,,
bthphotother,birth,,radio,"Necesito aplicacion de Fototerapia","0, No | 1, Si",,,,,,,,,,,
bthlonghosp,birth,,radio,"Necesito prolongarse la hospitalizacion","0, No | 1, Si",,,,,,,,,,,
bthbtype,birth,,radio,"Tipo Sanguineo del Recien Nacido","1, A | 2, B | 3, AB",,,,,,,,,,,
bthbgroup,birth,,radio,"Grupo Sanguineo del Recien Nacido","1, Rh Positivo | 2, Rh Negativo",,,,,,,,,,,
bthcoombs,birth,,radio,"Resultado del Coombs Directo","1, Positivo | 2, Negativo",,,,,,,,,,,
bthcomplic1,birth,,text,"Complicaciones del Recien Nacido 1",,"Hasta 250 caracteres",,,,,,,,,,
bthcomplic2,birth,,text,"Complicaciones del Recien Nacido 2",,"Hasta 250 caracteres",,,,,,,,,,
bthcomplic3,birth,,text,"Complicaciones del Recien Nacido 3",,"Hasta 250 caracteres",,,,,,,,,,
bthcomplic4,birth,,text,"Complicaciones del Recien Nacido 4",,"Hasta 250 caracteres",,,,,,,,,,
bthcomplic5,birth,,text,"Complicaciones del Recien Nacido 5",,"Hasta 250 caracteres",,,,,,,,,,
ppdate,postpartum_data_abstraction,,text,Date:,,MM-DD-YYYY,date_mdy,,,,,,,,,
ppinterviewer,postpartum_data_abstraction,,radio,"Data Abstractor:","1, Camille Rivera | 2, Liza Anzalota | 3, Janisse Cabrera | 4, Abigail Figueroa | 5, Another Interviwer",,,,,,,,,,,
ppotherinterviwer,postpartum_data_abstraction,,text,"Name of Interviewer?",,"35 Characters",,,,,[ppinterviewer]='5',,,,,
pphospital_id,postpartum_data_abstraction,,radio,"Site ID","1, Manati Medical Center | 2, Cayetano Coll y Toste | 3, University District Hospital | 4, Doctor's Hospital | 5, Other (Specify)",,,,,,,,,,,
ppothrhospital_id,postpartum_data_abstraction,,text,"Specify Other Hospital ID",,,,,,,"[pphospital_id] = '5'",,,,,
pprecord_number,postpartum_data_abstraction,,text,"Hospital Medical Record Number (MR#)",,,integer,,,,,,,,,
ppadmission_date,postpartum_data_abstraction,"MATERNAL INFORMATION",text,"Date of Admision for Delivery:",,(MM/DD/YYYY),date_mdy,,,,,,,,,
ppdischarge_date_report,postpartum_data_abstraction,,radio,"Date of Discharge from Delivery?","0, No Reported | 1, Yes",,,,,,,,,,,
ppdischarge_date,postpartum_data_abstraction,,text,"Date of Discharge:",,(MM/DD/YYYY),date_mdy,,,,"[ppdischarge_date_report] = '1'",,,,,
admission_diagnosis,postpartum_data_abstraction,,text,"Admission Diagnosis:",,,,,,,,,,,,
admission_diagnosis_icd,postpartum_data_abstraction,,text,"ICD Code:",,,,,,,,,,,,
ppfinal_diagnosis_1,postpartum_data_abstraction,,text,"Final Diagnosis",,,,,,,,,,,,
ppfinal_diagnosis_1_icd,postpartum_data_abstraction,,text,"ICD Code:",,,,,,,,,,,,
ppfinal_diagnosis_2,postpartum_data_abstraction,,text,"Final Diagnosis",,,,,,,,,,,,
ppfinal_diagnosis_2_icd,postpartum_data_abstraction,,text,"ICD Code:",,,,,,,,,,,,
ppfinal_diagnosis_3,postpartum_data_abstraction,,text,"Final Diagnosis",,,,,,,,,,,,
ppfinal_diagnosis_3_icd,postpartum_data_abstraction,,text,"ICD Code:",,,,,,,,,,,,
ppfinal_diagnosis_4,postpartum_data_abstraction,,text,"Final Diagnosis",,,,,,,,,,,,
ppfinal_diagnosis_4_icd,postpartum_data_abstraction,,text,"ICD Code:",,,,,,,,,,,,
ppfinal_diagnosis_5,postpartum_data_abstraction,,text,"Final Diagnosis",,,,,,,,,,,,
ppfinal_diagnosis_5_icd,postpartum_data_abstraction,,text,"ICD Code:",,,,,,,,,,,,
ppcomplications_1,postpartum_data_abstraction,COMPLICATIONS:,text,Complications:,,,,,,,,,,,,
ppcomplications_1_icd,postpartum_data_abstraction,,text,"ICD Code:",,,,,,,,,,,,
ppcomplications_2,postpartum_data_abstraction,,text,Complications:,,,,,,,,,,,,
ppcomplications_2_icd,postpartum_data_abstraction,,text,"ICD Code:",,,,,,,,,,,,
ppcomplications_3,postpartum_data_abstraction,,text,Complications:,,,,,,,,,,,,
ppcomplications_3_icd,postpartum_data_abstraction,,text,"ICD Code:",,,,,,,,,,,,
ppcomplications_4,postpartum_data_abstraction,,text,Complications:,,,,,,,,,,,,
ppcomplications_4_icd,postpartum_data_abstraction,,text,"ICD Code:",,,,,,,,,,,,
ppcomplications_5,postpartum_data_abstraction,,text,Complications:,,,,,,,,,,,,
ppcomplications_5_icd,postpartum_data_abstraction,,text,"ICD Code:",,,,,,,,,,,,
ppoperations_1,postpartum_data_abstraction,OPERATIONS/PROCEDURES:,text,"Operations or Procedures:",,,,,,,,,,,,
ppoperations_1_icd,postpartum_data_abstraction,,text,"ICD Code:",,,,,,,,,,,,
ppoperations_2,postpartum_data_abstraction,,text,"Operations or Procedures:",,,,,,,,,,,,
ppoperations_2_icd,postpartum_data_abstraction,,text,"ICD Code:",,,,,,,,,,,,
ppoperations_3,postpartum_data_abstraction,,text,"Operations or Procedures:",,,,,,,,,,,,
ppoperations_3_icd,postpartum_data_abstraction,,text,"ICD Code:",,,,,,,,,,,,
ppoperations_4,postpartum_data_abstraction,,text,"Operations or Procedures:",,,,,,,,,,,,
ppoperations_4_icd,postpartum_data_abstraction,,text,"ICD Code:",,,,,,,,,,,,
ppoperations_5,postpartum_data_abstraction,,text,"Operations or Procedures:",,,,,,,,,,,,
ppoperations_5_icd,postpartum_data_abstraction,,text,"ICD Code:",,,,,,,,,,,,
ppdatelabonset,postpartum_data_abstraction,"TYPE OF LABOR",text,"Date of Labor Onset:",,MM-DD-YYYY,date_mdy,,,,,,,,,
pptimelabonset,postpartum_data_abstraction,,text,"Time: of Labor Onset",,"Military Time (hh:mm) (1:00pm = 13:00)",time,00:01,23:59,,,,,,,
pptypelabor,postpartum_data_abstraction,,radio,"Type of Labor:","1, Spontaneous | 2, Induction | 3, Preterm Labor",,,,,,,,,,,
ppaugmneed,postpartum_data_abstraction,SPONTANEOUS,radio,"Augmentation of labor administered:","0, No | 1, Yes",,,,,,"[pptypelabor] = '1'",,,,,
ppinduct,postpartum_data_abstraction,INDUCTION,radio,"Indication for Induction:","1, Post-date > = 41 weeks | 2, Medical Condition (Ex. Diabetes, Hypertension, etc) | 3, Obstetrical Condition (Ex. Gestational Diabetes, Preeclampsia, Eclampsia, Etc) | 4, Other (specify)",,,,,,[pptypelabor]='2',,,,,
ppmedcondt,postpartum_data_abstraction,,text,"Specify Medical Condition:",,,,,,,[ppinduct]='2',,,,,
ppobstcondt,postpartum_data_abstraction,,text,"Specify Obstetrical Condition:",,,,,,,[ppinduct]='3',,,,,
ppothercondt,postpartum_data_abstraction,,text,"Specify Other Condition:",,,,,,,[ppinduct]='4',,,,,
ppmeduse,postpartum_data_abstraction,,radio,"Medication used for induction:","0, No | 1, Yes","If Yes, Specify.",,,,,[pptypelabor]='2',,,,,
ppmed1,postpartum_data_abstraction,,text,"Specify medication used:",,,,,,,[ppmeduse]='1',,,,,
pppretlabw,postpartum_data_abstraction,"PRETERM LABOR",text,"Weeks of pregnancy when diagnosed:",,Weeks,,,,,"[pptypelabor] = '3'",,,,,
pppretlabd,postpartum_data_abstraction,,text,"Days of pregnancy when diagnosed:",,Days,,,,,"[pptypelabor] = '3'",,,,,
pphospital,postpartum_data_abstraction,,radio,"Hospitalization needed:","0, No | 1, Yes",,,,,,[pptypelabor]='3',,,,,
ppmedicat,postpartum_data_abstraction,,radio,"Medication used for Preterm Labor:","0, No | 1, Yes",,,,,,[pptypelabor]='3',,,,,
ppmedusept,postpartum_data_abstraction,,notes,"Specify medication used:",,"150 characters",,,,,[ppmedicat]='1',,,,,
ppmethdpretlbr,postpartum_data_abstraction,,checkbox,"Method used for Preterm Labor (all that apply):","1, Progress in cervical dilation by vaginal exam. | 2, Regular UC's by monitor. | 3, Fetal fibronectine test. | 4, Cervical length by sonogram.",,,,,,[pptypelabor]='3',,,,,
pphistphys_exam_date,postpartum_data_abstraction,"HISTORY AND PHISYCAL EXAMINATION",text,"Date of History and Physical Examination:",,(MM/DD/YYYY),date_mdy,,,,,,,,,
pphistphy_exam_time,postpartum_data_abstraction,,text,"History and Physical Examination Time:",,"Military Time (hh:mm) (1:00pm = 13:00)",time,,,,,,,,,
ppchief_complaint,postpartum_data_abstraction,,notes,"Chief Complaint:",,,,,,,,,,,,
pphistory_present_illness,postpartum_data_abstraction,,notes,"History of Present Illnes:",,,,,,,,,,,,
pphistphys_bp_syst,postpartum_data_abstraction,,text,"Blood Pressure Systolic
",,mmHg,integer,80,160,,,,,,,
pphistphys_bp_diast,postpartum_data_abstraction,,text,"Blood Pressure Diastolic",,mmHg,integer,40,120,,,,,,,
pphistphysc_pulse,postpartum_data_abstraction,,text,"Heart Rate (HR)",,bpm,integer,40,200,,,,,,,
pphistphysc_resp,postpartum_data_abstraction,,text,"Respiratory Rate (RR):",,B/M,,,,,,,,,,
pphistphysc_temp,postpartum_data_abstraction,,text,"Temperature Recorded:",,"Centigrades with Decimal Point",number_1dp,,,,,,,,,
pphistphysc_matlwghtlb,postpartum_data_abstraction,,text,"Current Weight (Lbs):",,Pounds,,,,,,,,,,
pphistphysc_matlwghtoz,postpartum_data_abstraction,,text,"Current Weight (Oz):",,Ounces,,,,,,,,,,
pphistphysc_genitalia,postpartum_data_abstraction,,notes,Genitalia:,,,,,,,,,,,,
pphistphysc_extremities,postpartum_data_abstraction,,notes,Extremities:,,,,,,,,,,,,
ppdiagnosis_physicalexam,postpartum_data_abstraction,,notes,Diagnosis:,,,,,,,,,,,,
pptreatmt_physicalexam,postpartum_data_abstraction,,notes,Treatment:,,,,,,,,,,,,
ppmembranes,postpartum_data_abstraction,"LABOR AND DELIVERY<br><br>MEMBRANES",radio,Membranes:,"1, SROM | 2, AROM | 3, PROM | 4, PrePROM",,,,,,,,,,,
ppmembranes_date,postpartum_data_abstraction,,text,"Date Membrane Rupture:",,(MM/DD/YYYY),date_mdy,,,,,,,,,
ppmembranes_time,postpartum_data_abstraction,,text,"Time Membrane Rupture:",,"Military Time (hh:mm) (1:00pm = 13:00)",time,,,,,,,,,
ppexpulsionmbs,postpartum_data_abstraction,,radio,"Placental/Membranes Expulsion:","1, Manual | 2, Complete | 3, Incomplete",,,,,,,,,,,
pppvsadmdate,postpartum_data_abstraction,"VITAL SIGNS CHART DURING LABOR",text,"On Admission (Date)",,(MM/DD/YYYY),date_mdy,,,,,,,,,
pppvsadmtime,postpartum_data_abstraction,,text,"On Admission (Time)",,(MM/DD/YYYY),time,,,,,,,,,
ppbpadmnsyst,postpartum_data_abstraction,,text,"B/P On Admission (Systolic):",,mmHg,,,,,,,,,,
ppbpadmndiast,postpartum_data_abstraction,,text,"B/P On Admission (Diastolic):",,mmHg,,,,,,,,,,
pppulseadmn,postpartum_data_abstraction,,text,Pulse:,,,,,,,,,,,,
pptempadm,postpartum_data_abstraction,,text,Temperature:,,"Centigrades with Decimal Point",,,,,,,,,,
ppbrthadm,postpartum_data_abstraction,,text,Respiration:,,,,,,,,,,,,
pppart_time,postpartum_data_abstraction,,text,"Postpartum (Time)",,"Military Time (hh:mm) (1:00pm = 13:00)",time,,,,,,,,,
ppbppartumsyst,postpartum_data_abstraction,,text,"B/P Postpartum (Systolic):",,mmHg,,,,,,,,,,
ppbppartum_diast,postpartum_data_abstraction,,text,"B/P Postpartum (Diastolic):",,mmHg,,,,,,,,,,
pppostpart,postpartum_data_abstraction,,text,Pulse:,,,,,,,,,,,,
pptempppartum,postpartum_data_abstraction,,text,Temperature:,,"Centigrades with Decimal Point",,,,,,,,,,
ppbrthppartum,postpartum_data_abstraction,,text,Respiration:,,,,,,,,,,,,
ppdischg_time,postpartum_data_abstraction,,text,"At Discharge (Time)",,"Military Time (hh:mm) (1:00pm = 13:00)",time,,,,,,,,,
ppbpdschrgsyst,postpartum_data_abstraction,,text,"B/P At Discharge (Systolic):",,mmHg,,,,,,,,,,
ppbpdischrgdiast,postpartum_data_abstraction,,text,"B/P At Discharge (Diastolic):",,mmHg,,,,,,,,,,
pppdischrg,postpartum_data_abstraction,,text,Pulse:,,,,,,,,,,,,
pptempdischrg,postpartum_data_abstraction,,text,Temperature:,,"Centigrades with Decimal Point",,,,,,,,,,
ppbrthdischrg,postpartum_data_abstraction,,text,Respiration:,,,,,,,,,,,,
pplabor,postpartum_data_abstraction,LABOR,radio,Labor:,"1, Yes | 0, No | 999, Not Reported",,,,,,,,,,,
pplabor_date1,postpartum_data_abstraction,,text,"Labor Date:",,,date_mdy,,,,"[pplabor] = '1'",,,,,
